entity,doc_freq,types,primary_type,idf,tfidf_proxy
Industry,50,['Sector'],Sector,3.492256112609122,174.61280563045608
Thailand,49,['Region'],Region,3.5124588199266413,172.1104821764054
Philippines,47,['Region'],Region,3.5541315163272094,167.04418126737883
Malaysia,47,['Region'],Region,3.5541315163272094,167.04418126737883
Viet Nam,44,['Region'],Region,3.6200894841190068,159.2839373012363
Central And South America,44,['Region'],Region,3.6200894841190068,159.2839373012363
2019,44,['Timeframe'],Timeframe,3.6200894841190068,159.2839373012363
Nuclear,42,['Energysource'],Energysource,3.6666094997539,153.9975989896638
Türkiye,42,['Region'],Region,3.6666094997539,153.9975989896638
2020,41,['Timeframe'],Timeframe,3.6907070513329603,151.31898910465137
Latin America,41,['Region'],Region,3.6907070513329603,151.31898910465137
Biodiesel,41,['Energysource'],Energysource,3.6907070513329603,151.31898910465137
Chile,40,['Region'],Region,3.715399663923332,148.61598655693328
Data Centres,40,"['Sector', 'Infrastructure']",Sector,3.715399663923332,148.61598655693328
California,39,['Region'],Region,3.740717471907622,145.88798140439727
Sweden,39,['Region'],Region,3.740717471907622,145.88798140439727
Biomethane,39,['Energysource'],Energysource,3.740717471907622,145.88798140439727
Renewable Electricity,37,"['Energysource', 'Technology', 'Sector', 'Metric']",Energysource,3.7933612053930434,140.3543645995426
Lng,37,['Energysource'],Energysource,3.7933612053930434,140.3543645995426
Asean,37,['Region'],Region,3.7933612053930434,140.3543645995426
Coal-Fired Generation,37,"['Energysource', 'Technology', 'Sector', 'Metric']",Energysource,3.7933612053930434,140.3543645995426
Thermal Coal,36,['Energysource'],Energysource,3.820760179581158,137.54736646492168
Transport Sector,36,['Sector'],Sector,3.820760179581158,137.54736646492168
Onshore Wind,36,"['Energysource', 'Technology', 'Sector']",Energysource,3.820760179581158,137.54736646492168
Naphtha,36,"['Energysource', 'Sector']",Energysource,3.820760179581158,137.54736646492168
Power Sector,35,['Sector'],Sector,3.8489310565478543,134.7125869791749
2024-2030,35,['Timeframe'],Timeframe,3.8489310565478543,134.7125869791749
Southeast Asia,34,['Region'],Region,3.8779185934211067,131.84923217631763
2025-2030,34,"['Timeframe', 'Metric']",Timeframe,3.8779185934211067,131.84923217631763
Qatar,34,['Region'],Region,3.8779185934211067,131.84923217631763
Finland,33,['Region'],Region,3.907771556570788,128.956461366836
Colombia,33,['Region'],Region,3.907771556570788,128.956461366836
Norway,32,['Region'],Region,3.9385432152375417,126.03338288760133
Argentina,32,['Region'],Region,3.9385432152375417,126.03338288760133
World,32,['Region'],Region,3.9385432152375417,126.03338288760133
Nigeria,32,['Region'],Region,3.9385432152375417,126.03338288760133
Diesel,31,"['Energysource', 'Sector']",Energysource,3.970291913552122,123.07904932011579
Electric Vehicles,30,"['Technology', 'Sector']",Technology,4.003081736375113,120.09245209125338
Heat Pumps,30,"['Technology', 'Sector']",Technology,4.003081736375113,120.09245209125338
Belgium,30,['Region'],Region,4.003081736375113,120.09245209125338
Estonia,30,['Region'],Region,4.003081736375113,120.09245209125338
Eu,30,['Region'],Region,4.003081736375113,120.09245209125338
Kazakhstan,29,['Region'],Region,4.036983288050794,117.07251535347302
Mongolia,28,['Region'],Region,4.072074607862064,114.01808902013781
Austria,28,['Region'],Region,4.072074607862064,114.01808902013781
Egypt,28,['Region'],Region,4.072074607862064,114.01808902013781
Kenya,28,['Region'],Region,4.072074607862064,114.01808902013781
Power Generation,28,['Sector'],Sector,4.072074607862064,114.01808902013781
Offshore Wind,28,"['Energysource', 'Technology', 'Sector']",Energysource,4.072074607862064,114.01808902013781
Renewable Diesel,28,['Energysource'],Energysource,4.072074607862064,114.01808902013781
Oil,27,['Energysource'],Energysource,4.108442252032939,110.92794080488935
Portugal,27,['Region'],Region,4.108442252032939,110.92794080488935
2018,27,['Timeframe'],Timeframe,4.108442252032939,110.92794080488935
Battery Storage,27,"['Energysource', 'Technology', 'Infrastructure']",Energysource,4.108442252032939,110.92794080488935
Oecd Europe,26,['Region'],Region,4.146182580015786,107.80074708041045
Iran,26,['Region'],Region,4.146182580015786,107.80074708041045
Lithuania,26,['Region'],Region,4.146182580015786,107.80074708041045
Ukraine,26,['Region'],Region,4.146182580015786,107.80074708041045
Electricity Generation,26,"['Sector', 'Metric']",Sector,4.146182580015786,107.80074708041045
Singapore,25,['Region'],Region,4.185403293169068,104.63508232922669
Electricity,25,"['Energysource', 'Sector']",Energysource,4.185403293169068,104.63508232922669
Mozambique,25,['Region'],Region,4.185403293169068,104.63508232922669
Iraq,25,['Region'],Region,4.185403293169068,104.63508232922669
Biogas,24,['Energysource'],Energysource,4.2262252876893225,101.42940690454374
Uae,24,['Region'],Region,4.2262252876893225,101.42940690454374
Greece,24,['Region'],Region,4.2262252876893225,101.42940690454374
Gas-Fired Generation,24,"['Energysource', 'Technology', 'Metric']",Energysource,4.2262252876893225,101.42940690454374
Met Coal,23,['Energysource'],Energysource,4.268784902108118,98.18205274848671
Biofuels,23,"['Energysource', 'Sector']",Energysource,4.268784902108118,98.18205274848671
Jet/Kerosene,22,"['Energysource', 'Sector']",Energysource,4.313236664678953,94.89120662293696
Hungary,22,['Region'],Region,4.313236664678953,94.89120662293696
Other Asia,22,['Region'],Region,4.313236664678953,94.89120662293696
Renewable Energy,22,['Energysource'],Energysource,4.313236664678953,94.89120662293696
Romania,22,['Region'],Region,4.313236664678953,94.89120662293696
Algeria,22,['Region'],Region,4.313236664678953,94.89120662293696
Israel,22,['Region'],Region,4.313236664678953,94.89120662293696
Transport,22,['Sector'],Sector,4.313236664678953,94.89120662293696
Variable Renewable Energy,22,['Energysource'],Energysource,4.313236664678953,94.89120662293696
Industrial Sector,21,['Sector'],Sector,4.359756680313845,91.55489028659075
Iea,21,"['Policy', 'Sector', 'Region', 'Infrastructure']",Policy,4.359756680313845,91.55489028659075
New Zealand,21,['Region'],Region,4.359756680313845,91.55489028659075
Senegal,21,['Region'],Region,4.359756680313845,91.55489028659075
Ethanol,21,['Energysource'],Energysource,4.359756680313845,91.55489028659075
Wind Power,20,"['Energysource', 'Technology']",Energysource,4.408546844483277,88.17093688966554
Ngls,20,"['Energysource', 'Metric']",Energysource,4.408546844483277,88.17093688966554
Fuel Oil,20,['Energysource'],Energysource,4.408546844483277,88.17093688966554
Morocco,20,['Region'],Region,4.408546844483277,88.17093688966554
Wind Generation,20,"['Energysource', 'Technology']",Energysource,4.408546844483277,88.17093688966554
Lpg,20,['Energysource'],Energysource,4.408546844483277,88.17093688966554
Geothermal,20,"['Energysource', 'Technology']",Energysource,4.408546844483277,88.17093688966554
Utility-Scale Solar Pv,19,"['Energysource', 'Technology']",Energysource,4.4598401388708275,84.73696263854572
Storage,19,"['Technology', 'Sector']",Technology,4.4598401388708275,84.73696263854572
Vre,19,"['Energysource', 'Sector']",Energysource,4.4598401388708275,84.73696263854572
Q1-Q3 2025,19,['Timeframe'],Timeframe,4.4598401388708275,84.73696263854572
Oman,19,['Region'],Region,4.4598401388708275,84.73696263854572
Others,19,"['Energysource', 'Sector', 'Region']",Energysource,4.4598401388708275,84.73696263854572
Latvia,18,['Region'],Region,4.513907360141103,81.25033248253986
Switzerland,18,['Region'],Region,4.513907360141103,81.25033248253986
European Commission,18,"['Policy', 'Sector', 'Region']",Policy,4.513907360141103,81.25033248253986
Chinese Taipei,18,['Region'],Region,4.513907360141103,81.25033248253986
Bulgaria,18,['Region'],Region,4.513907360141103,81.25033248253986
Americas,18,['Region'],Region,4.513907360141103,81.25033248253986
Us,18,['Region'],Region,4.513907360141103,81.25033248253986
Buildings,18,"['Sector', 'Infrastructure']",Sector,4.513907360141103,81.25033248253986
Buildings Sector,18,['Sector'],Sector,4.513907360141103,81.25033248253986
Oil Demand,18,['Metric'],Metric,4.513907360141103,81.25033248253986
Petrochemical Feedstocks,18,"['Energysource', 'Sector']",Energysource,4.513907360141103,81.25033248253986
Oecd Americas,18,['Region'],Region,4.513907360141103,81.25033248253986
Jet Fuel,17,"['Energysource', 'Sector']",Energysource,4.571065773981052,77.70811815767787
Lpg/Ethane,17,['Energysource'],Energysource,4.571065773981052,77.70811815767787
Oecd Asia Oceania,17,['Region'],Region,4.571065773981052,77.70811815767787
Pakistan,17,['Region'],Region,4.571065773981052,77.70811815767787
Bioenergy,17,"['Energysource', 'Technology']",Energysource,4.571065773981052,77.70811815767787
Kuwait,17,['Region'],Region,4.571065773981052,77.70811815767787
Advanced Economies,16,['Region'],Region,4.631690395797487,74.1070463327598
Electrification,16,"['Policy', 'Technology', 'Sector', 'Metric']",Policy,4.631690395797487,74.1070463327598
Lng Imports,16,"['Energysource', 'Sector', 'Metric', 'Infrastructure']",Energysource,4.631690395797487,74.1070463327598
2017,16,['Timeframe'],Timeframe,4.631690395797487,74.1070463327598
Sub-Saharan Africa,15,['Region'],Region,4.696228916935058,70.44343375402588
Industry Sector,15,['Sector'],Sector,4.696228916935058,70.44343375402588
Batteries,15,"['Energysource', 'Technology', 'Sector']",Energysource,4.696228916935058,70.44343375402588
Solar Pv Generation,15,"['Energysource', 'Technology', 'Metric']",Energysource,4.696228916935058,70.44343375402588
United Arab Emirates,15,['Region'],Region,4.696228916935058,70.44343375402588
Guyana,15,['Region'],Region,4.696228916935058,70.44343375402588
Luxembourg,15,['Region'],Region,4.696228916935058,70.44343375402588
Rest Of World,15,['Region'],Region,4.696228916935058,70.44343375402588
Venezuela,15,['Region'],Region,4.696228916935058,70.44343375402588
Distributed Solar Pv,15,"['Energysource', 'Technology']",Energysource,4.696228916935058,70.44343375402588
Oecd,14,"['Policy', 'Region']",Policy,4.76522178842201,66.71310503790814
Angola,14,['Region'],Region,4.76522178842201,66.71310503790814
Other Products,14,"['Energysource', 'Sector']",Energysource,4.76522178842201,66.71310503790814
Ethane,14,['Energysource'],Energysource,4.76522178842201,66.71310503790814
Biojet Fuel,14,['Energysource'],Energysource,4.76522178842201,66.71310503790814
Ercot,14,"['Region', 'Infrastructure']",Region,4.76522178842201,66.71310503790814
Utilities,14,['Sector'],Sector,4.76522178842201,66.71310503790814
Electricity Demand Growth,14,['Metric'],Metric,4.76522178842201,66.71310503790814
Gdp Growth,14,['Metric'],Metric,4.76522178842201,66.71310503790814
Naturalgas,14,['Energysource'],Energysource,4.76522178842201,66.71310503790814
Global,13,['Region'],Region,4.8393297605757315,62.91128688748451
Inner Mongolia,13,['Region'],Region,4.8393297605757315,62.91128688748451
Bangladesh,13,['Region'],Region,4.8393297605757315,62.91128688748451
Atlantic Basin,13,['Region'],Region,4.8393297605757315,62.91128688748451
Libya,13,['Region'],Region,4.8393297605757315,62.91128688748451
Azerbaijan,13,['Region'],Region,4.8393297605757315,62.91128688748451
Croatia,13,['Region'],Region,4.8393297605757315,62.91128688748451
Totalenergies,13,"['Sector', 'Region', 'Infrastructure']",Sector,4.8393297605757315,62.91128688748451
Residential Sector,13,['Sector'],Sector,4.8393297605757315,62.91128688748451
South Australia,12,['Region'],Region,4.919372468249268,59.032469618991215
Namibia,12,['Region'],Region,4.919372468249268,59.032469618991215
Uzbekistan,12,['Region'],Region,4.919372468249268,59.032469618991215
Iceland,12,['Region'],Region,4.919372468249268,59.032469618991215
Cyprus,12,['Region'],Region,4.919372468249268,59.032469618991215
Demand Response,12,['Technology'],Technology,4.919372468249268,59.032469618991215
Great Britain,12,['Region'],Region,4.919372468249268,59.032469618991215
Uk,12,['Region'],Region,4.919372468249268,59.032469618991215
Renewables 2025,12,"['Energysource', 'Timeframe', 'Policy', 'Metric']",Energysource,4.919372468249268,59.032469618991215
Corporate Ppas,12,"['Policy', 'Technology']",Policy,4.919372468249268,59.032469618991215
Czech Republic,12,['Region'],Region,4.919372468249268,59.032469618991215
Republic Of Türkiye,12,['Region'],Region,4.919372468249268,59.032469618991215
Economic Growth,12,['Metric'],Metric,4.919372468249268,59.032469618991215
Coal-Fired Power Generation,12,"['Energysource', 'Technology', 'Sector', 'Metric']",Energysource,4.919372468249268,59.032469618991215
Shaanxi,12,['Region'],Region,4.919372468249268,59.032469618991215
Botswana,12,['Region'],Region,4.919372468249268,59.032469618991215
2014,12,['Timeframe'],Timeframe,4.919372468249268,59.032469618991215
Other,12,"['Energysource', 'Sector', 'Region']",Energysource,4.919372468249268,59.032469618991215
Crude Oil,12,['Energysource'],Energysource,4.919372468249268,59.032469618991215
Annual Change,12,['Metric'],Metric,4.919372468249268,59.032469618991215
Gasoil/Diesel,12,"['Energysource', 'Sector']",Energysource,4.919372468249268,59.032469618991215
Residual Fuel Oil,11,"['Energysource', 'Sector']",Energysource,5.006383845238898,55.07022229762788
Accelerated Case,11,"['Timeframe', 'Policy', 'Metric']",Timeframe,5.006383845238898,55.07022229762788
Ccus,11,['Technology'],Technology,5.006383845238898,55.07022229762788
Consumers,11,['Sector'],Sector,5.006383845238898,55.07022229762788
Nuclear Generation,11,"['Energysource', 'Metric']",Energysource,5.006383845238898,55.07022229762788
Wind Energy,11,"['Energysource', 'Sector']",Energysource,5.006383845238898,55.07022229762788
Other Non-Res,11,['Energysource'],Energysource,5.006383845238898,55.07022229762788
Renewable Energy Sources,11,['Energysource'],Energysource,5.006383845238898,55.07022229762788
Electricity Markets,11,"['Sector', 'Infrastructure']",Sector,5.006383845238898,55.07022229762788
Energy Efficiency,11,"['Policy', 'Technology', 'Sector', 'Metric']",Policy,5.006383845238898,55.07022229762788
Slovak Republic,11,['Region'],Region,5.006383845238898,55.07022229762788
International Energy Agency,11,"['Policy', 'Sector']",Policy,5.006383845238898,55.07022229762788
Electricity Consumption,11,['Metric'],Metric,5.006383845238898,55.07022229762788
Xinjiang,11,['Region'],Region,5.006383845238898,55.07022229762788
Commercial Sector,11,['Sector'],Sector,5.006383845238898,55.07022229762788
2035,11,['Timeframe'],Timeframe,5.006383845238898,55.07022229762788
Western Region,11,['Region'],Region,5.006383845238898,55.07022229762788
2012,11,['Timeframe'],Timeframe,5.006383845238898,55.07022229762788
Natural Gas Demand,11,"['Sector', 'Metric']",Sector,5.006383845238898,55.07022229762788
E-Methane,10,['Energysource'],Energysource,5.101694025043223,51.01694025043223
Portfolio Players,10,['Sector'],Sector,5.101694025043223,51.01694025043223
Emerging Asia,10,['Region'],Region,5.101694025043223,51.01694025043223
Natural Gas Production,10,"['Energysource', 'Sector', 'Metric']",Energysource,5.101694025043223,51.01694025043223
Aemo,10,"['Policy', 'Sector', 'Infrastructure']",Policy,5.101694025043223,51.01694025043223
Gdp,10,['Metric'],Metric,5.101694025043223,51.01694025043223
Northern Region,10,['Region'],Region,5.101694025043223,51.01694025043223
Renewable Transport,10,['Sector'],Sector,5.101694025043223,51.01694025043223
Refining Capacity,10,"['Metric', 'Infrastructure']",Metric,5.101694025043223,51.01694025043223
Opec+,10,"['Policy', 'Sector', 'Region']",Policy,5.101694025043223,51.01694025043223
Gasoil,10,['Energysource'],Energysource,5.101694025043223,51.01694025043223
Total Products,10,"['Energysource', 'Sector', 'Metric']",Energysource,5.101694025043223,51.01694025043223
Q3 2025,10,['Timeframe'],Timeframe,5.101694025043223,51.01694025043223
Ghana,10,['Region'],Region,5.101694025043223,51.01694025043223
Peru,10,['Region'],Region,5.101694025043223,51.01694025043223
Serbia,10,['Region'],Region,5.101694025043223,51.01694025043223
Renewable Energy Technologies,10,['Technology'],Technology,5.101694025043223,51.01694025043223
Demand,10,"['Sector', 'Metric']",Sector,5.101694025043223,51.01694025043223
Asean Countries,10,['Region'],Region,5.101694025043223,51.01694025043223
Emerging Economies,10,['Region'],Region,5.101694025043223,51.01694025043223
Coking Coal,10,['Energysource'],Energysource,5.101694025043223,51.01694025043223
Renewable Generation,10,"['Energysource', 'Metric']",Energysource,5.101694025043223,51.01694025043223
Solar,10,['Energysource'],Energysource,5.101694025043223,51.01694025043223
Co2 Emissions,10,['Metric'],Metric,5.101694025043223,51.01694025043223
Shanxi,10,['Region'],Region,5.101694025043223,51.01694025043223
Lignite,10,['Energysource'],Energysource,5.101694025043223,51.01694025043223
Energy Security,10,"['Policy', 'Metric']",Policy,5.101694025043223,51.01694025043223
Ethiopia,10,['Region'],Region,5.101694025043223,51.01694025043223
Electricity Prices,10,['Metric'],Metric,5.101694025043223,51.01694025043223
October 2025,9,['Timeframe'],Timeframe,5.207054540701049,46.86349086630944
Peak Load,9,['Metric'],Metric,5.207054540701049,46.86349086630944
Natural Gas-Fired Generation,9,['Energysource'],Energysource,5.207054540701049,46.86349086630944
2015,9,['Timeframe'],Timeframe,5.207054540701049,46.86349086630944
Households,9,['Sector'],Sector,5.207054540701049,46.86349086630944
Southern Region,9,['Region'],Region,5.207054540701049,46.86349086630944
April 2025,9,['Timeframe'],Timeframe,5.207054540701049,46.86349086630944
Renewable Electricity Generation,9,"['Energysource', 'Technology', 'Sector', 'Metric']",Energysource,5.207054540701049,46.86349086630944
Non-Firm Connection Agreements,9,"['Policy', 'Technology']",Policy,5.207054540701049,46.86349086630944
Regulatory Frameworks,9,['Policy'],Policy,5.207054540701049,46.86349086630944
Power,9,['Sector'],Sector,5.207054540701049,46.86349086630944
Total Non-Oecd,9,['Region'],Region,5.207054540701049,46.86349086630944
Fossil Fuels,9,['Energysource'],Energysource,5.207054540701049,46.86349086630944
Governments,9,"['Policy', 'Sector', 'Region']",Policy,5.207054540701049,46.86349086630944
Cambodia,9,['Region'],Region,5.207054540701049,46.86349086630944
Zimbabwe,9,['Region'],Region,5.207054540701049,46.86349086630944
Texas,9,['Region'],Region,5.207054540701049,46.86349086630944
Côte D’Ivoire,9,['Region'],Region,5.207054540701049,46.86349086630944
Gabon,9,['Region'],Region,5.207054540701049,46.86349086630944
Suriname,9,['Region'],Region,5.207054540701049,46.86349086630944
Grids,9,['Infrastructure'],Infrastructure,5.207054540701049,46.86349086630944
Modern Bioenergy,9,"['Energysource', 'Technology']",Energysource,5.207054540701049,46.86349086630944
Uganda,9,['Region'],Region,5.207054540701049,46.86349086630944
Renewable Power Generation,8,"['Energysource', 'Sector', 'Metric']",Energysource,5.3248375763574325,42.59870061085946
Petrochemicals,8,['Sector'],Sector,5.3248375763574325,42.59870061085946
Variable Renewables,8,['Energysource'],Energysource,5.3248375763574325,42.59870061085946
Congo,8,['Region'],Region,5.3248375763574325,42.59870061085946
2019-2024,8,['Timeframe'],Timeframe,5.3248375763574325,42.59870061085946
Czechia,8,['Region'],Region,5.3248375763574325,42.59870061085946
New York,8,['Region'],Region,5.3248375763574325,42.59870061085946
Biofuel Demand,8,['Metric'],Metric,5.3248375763574325,42.59870061085946
Refined Product Demand,8,['Metric'],Metric,5.3248375763574325,42.59870061085946
Gasoline Demand,8,['Metric'],Metric,5.3248375763574325,42.59870061085946
Total Oecd,8,['Region'],Region,5.3248375763574325,42.59870061085946
Distributed Pv,8,"['Energysource', 'Technology']",Energysource,5.3248375763574325,42.59870061085946
Curtailment,8,"['Policy', 'Metric']",Policy,5.3248375763574325,42.59870061085946
Reconductoring,8,['Technology'],Technology,5.3248375763574325,42.59870061085946
Smart Meters,8,"['Technology', 'Infrastructure']",Technology,5.3248375763574325,42.59870061085946
Total Renewables,8,"['Energysource', 'Metric']",Energysource,5.3248375763574325,42.59870061085946
Evs,8,"['Technology', 'Sector']",Technology,5.3248375763574325,42.59870061085946
Ancillary Services,8,"['Sector', 'Metric']",Sector,5.3248375763574325,42.59870061085946
Lng Exports,8,"['Sector', 'Metric']",Sector,5.3248375763574325,42.59870061085946
2021-2023,8,['Timeframe'],Timeframe,5.3248375763574325,42.59870061085946
Chemicals,8,['Sector'],Sector,5.3248375763574325,42.59870061085946
Biomass,8,"['Energysource', 'Technology']",Energysource,5.3248375763574325,42.59870061085946
Coal Demand,8,['Metric'],Metric,5.3248375763574325,42.59870061085946
Hydrogen,8,['Energysource'],Energysource,5.3248375763574325,42.59870061085946
Long-Term Contracts,8,"['Policy', 'Infrastructure']",Policy,5.3248375763574325,42.59870061085946
End Of The Decade,8,['Timeframe'],Timeframe,5.3248375763574325,42.59870061085946
Nuclear Power,8,['Energysource'],Energysource,5.3248375763574325,42.59870061085946
Niger,8,['Region'],Region,5.3248375763574325,42.59870061085946
2016,8,['Timeframe'],Timeframe,5.3248375763574325,42.59870061085946
Slovenia,8,['Region'],Region,5.3248375763574325,42.59870061085946
Global Biofuels,8,"['Energysource', 'Sector', 'Metric']",Energysource,5.3248375763574325,42.59870061085946
East Of Suez,8,['Region'],Region,5.3248375763574325,42.59870061085946
Middle Distillates,8,['Energysource'],Energysource,5.3248375763574325,42.59870061085946
Vegetable Oils,8,['Energysource'],Energysource,5.3248375763574325,42.59870061085946
Belarus,8,['Region'],Region,5.3248375763574325,42.59870061085946
Georgia,8,['Region'],Region,5.3248375763574325,42.59870061085946
Myanmar,8,['Region'],Region,5.3248375763574325,42.59870061085946
Power Systems,8,['Infrastructure'],Infrastructure,5.3248375763574325,42.59870061085946
Queensland,7,['Region'],Region,5.458368968981955,38.208582782873684
Oil Prices,7,['Metric'],Metric,5.458368968981955,38.208582782873684
May 2025,7,['Timeframe'],Timeframe,5.458368968981955,38.208582782873684
Sudan,7,['Region'],Region,5.458368968981955,38.208582782873684
Costa Rica,7,['Region'],Region,5.458368968981955,38.208582782873684
Kyrgyzstan,7,['Region'],Region,5.458368968981955,38.208582782873684
Kosovo,7,['Region'],Region,5.458368968981955,38.208582782873684
Malta,7,['Region'],Region,5.458368968981955,38.208582782873684
Bahrain,7,['Region'],Region,5.458368968981955,38.208582782873684
Electricity 2026,7,"['Timeframe', 'Policy', 'Metric']",Timeframe,5.458368968981955,38.208582782873684
Region,7,['Region'],Region,5.458368968981955,38.208582782873684
Flexibility,7,"['Policy', 'Technology', 'Metric', 'Infrastructure']",Policy,5.458368968981955,38.208582782873684
Utility-Scale Batteries,7,"['Energysource', 'Technology']",Energysource,5.458368968981955,38.208582782873684
Nuclear Energy,7,['Energysource'],Energysource,5.458368968981955,38.208582782873684
Grid Connection Queues,7,"['Metric', 'Infrastructure']",Metric,5.458368968981955,38.208582782873684
Voltage Uprating,7,['Technology'],Technology,5.458368968981955,38.208582782873684
Cooling,7,"['Technology', 'Sector']",Technology,5.458368968981955,38.208582782873684
Agriculture,7,['Sector'],Sector,5.458368968981955,38.208582782873684
Eastern Region,7,['Region'],Region,5.458368968981955,38.208582782873684
Year 2025,7,['Timeframe'],Timeframe,5.458368968981955,38.208582782873684
Year 2030,7,['Timeframe'],Timeframe,5.458368968981955,38.208582782873684
Year 2024,7,['Timeframe'],Timeframe,5.458368968981955,38.208582782873684
Lng Prices,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Victoria,7,['Region'],Region,5.458368968981955,38.208582782873684
Natural Gas Prices,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Spot Lng Prices,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Asian Markets,7,['Region'],Region,5.458368968981955,38.208582782873684
Polysilicon,7,"['Energysource', 'Technology', 'Sector']",Energysource,5.458368968981955,38.208582782873684
Obbba,7,['Policy'],Policy,5.458368968981955,38.208582782873684
Other Non-Renewables,7,['Energysource'],Energysource,5.458368968981955,38.208582782873684
Total Generation,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Total Emissions,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Non-Oecd Europe,7,['Region'],Region,5.458368968981955,38.208582782873684
Total Opec,7,"['Energysource', 'Metric', 'Region']",Energysource,5.458368968981955,38.208582782873684
Biogases,7,['Energysource'],Energysource,5.458368968981955,38.208582782873684
Hydrogen-Based Fuels,7,['Energysource'],Energysource,5.458368968981955,38.208582782873684
Waste And Residue Oils,7,['Energysource'],Energysource,5.458368968981955,38.208582782873684
Equinor,7,"['Sector', 'Infrastructure']",Sector,5.458368968981955,38.208582782873684
Auctions,7,"['Policy', 'Infrastructure']",Policy,5.458368968981955,38.208582782873684
Imo,7,['Policy'],Policy,5.458368968981955,38.208582782873684
Renewable Fuel Standard,7,['Policy'],Policy,5.458368968981955,38.208582782873684
Global Oil Demand,7,['Metric'],Metric,5.458368968981955,38.208582782873684
Non-Oecd,7,['Region'],Region,5.458368968981955,38.208582782873684
Crude,7,"['Energysource', 'Metric']",Energysource,5.458368968981955,38.208582782873684
Refineries,7,['Infrastructure'],Infrastructure,5.458368968981955,38.208582782873684
Global Lng Supply,7,"['Energysource', 'Sector', 'Metric']",Energysource,5.458368968981955,38.208582782873684
Energy Sector,7,['Sector'],Sector,5.458368968981955,38.208582782873684
